iter	Logloss
0	0.6150510481
1	0.559408136
2	0.5166289092
3	0.4833129954
4	0.460580619
5	0.4391711878
6	0.4232397194
7	0.4096227889
8	0.399424316
9	0.3918897059
10	0.3857393529
11	0.3811530034
12	0.3776504719
13	0.3744186015
14	0.3716933804
15	0.3699571154
16	0.3685536658
17	0.3667274309
18	0.3656042387
19	0.3647874442
20	0.3641785044
21	0.3636410892
22	0.3632336761
23	0.3628908696
24	0.3626267972
25	0.3621803315
26	0.3619729859
27	0.3617464807
28	0.3615992459
29	0.3614673336
30	0.3610759235
31	0.3609787926
32	0.360908211
33	0.3608235684
34	0.360733121
35	0.3606346613
36	0.360473198
37	0.3603588489
38	0.3602861255
39	0.3601564624
40	0.3600045815
41	0.3599832153
42	0.3598656533
43	0.3597956107
44	0.3597733357
45	0.3597297274
46	0.3596174494
47	0.3595043369
48	0.359391464
49	0.3593096566
50	0.3592397029
51	0.3591472946
52	0.3591010283
53	0.359012175
54	0.3589499971
55	0.3588849551
56	0.3586344532
57	0.3586033128
58	0.3585248665
59	0.3584353173
60	0.3583787246
61	0.3583626107
62	0.3582424761
63	0.3582273652
64	0.3581498746
65	0.3580672748
66	0.3580261103
67	0.3579325567
68	0.3578974693
69	0.3578654716
70	0.3578148845
71	0.357790837
72	0.3576810385
73	0.3576512453
74	0.3576215092
75	0.3574971682
76	0.3573721841
77	0.3573064915
78	0.3572823418
79	0.3571906689
80	0.3571144502
81	0.3570811658
82	0.3570180028
83	0.356943289
84	0.3568827028
85	0.3568226435
86	0.3567242621
87	0.3566641315
88	0.356606448
89	0.3565278272
90	0.3564330908
91	0.3563831182
92	0.3563289523
93	0.356255053
94	0.3561751958
95	0.3561191582
96	0.3560525907
97	0.3559700533
98	0.3558697996
99	0.3558273992
100	0.3557714915
101	0.3556663565
102	0.3555427403
103	0.3554406324
104	0.3552949706
105	0.3551561097
106	0.3550504596
107	0.3549630838
108	0.3548018235
109	0.3546752582
110	0.3545956088
111	0.3545157742
112	0.3543946485
113	0.3543447585
114	0.3542439082
115	0.3541581204
116	0.3540887523
117	0.3539557111
118	0.3537822833
119	0.3536907668
120	0.3535835633
121	0.3535029288
122	0.3534373834
123	0.3533050798
124	0.3532682376
125	0.3532080178
126	0.3530195537
127	0.3529217051
128	0.3528606367
129	0.3527791249
130	0.3526691195
131	0.3525929096
132	0.3525631354
133	0.3524472807
134	0.3523654345
135	0.3522513152
136	0.3521434204
137	0.3520705389
138	0.352049385
139	0.3519414201
140	0.3517883778
141	0.3516560133
142	0.3515843973
143	0.3514974268
144	0.3513850287
145	0.3513047427
146	0.3511839536
147	0.3511340868
148	0.351018436
149	0.3509119082
150	0.3507622681
151	0.3506607526
152	0.3505815423
153	0.3504700321
154	0.3503354823
155	0.3502648836
156	0.3501972395
157	0.3500826027
158	0.3499582453
159	0.349863766
160	0.3498145092
161	0.3496612659
162	0.3496464999
163	0.3495701725
164	0.3494705063
165	0.3494499703
166	0.3493567758
167	0.3493056073
168	0.3492497847
169	0.3491272298
170	0.3489994741
171	0.3489337532
172	0.3487979988
173	0.3487358226
174	0.3486162485
175	0.3485224938
176	0.3484471507
177	0.3483648251
178	0.3482506278
179	0.3481375426
180	0.3480800864
181	0.3480440347
182	0.3479514175
183	0.3478688645
184	0.3477883758
185	0.3476966179
186	0.3476136299
187	0.3474963282
188	0.3473993135
189	0.3473581417
190	0.3472458565
191	0.3471376887
192	0.3471266735
193	0.3470347478
194	0.3469502981
195	0.3467951674
196	0.346668865
197	0.3465757393
198	0.3465275859
199	0.3464539768
200	0.3463818192
201	0.3463487239
202	0.3462505019
203	0.346152062
204	0.3460572135
205	0.3459732132
206	0.3459377363
207	0.3458402096
208	0.3457868678
209	0.3457257895
210	0.3456366856
211	0.345535013
212	0.3454856253
213	0.3453633706
214	0.3453534918
215	0.3452488705
216	0.345201285
217	0.3451009583
218	0.3450921138
219	0.344997206
220	0.3448944285
221	0.3448065232
222	0.3447769148
223	0.3446431948
224	0.3445667836
225	0.3444311269
226	0.3443201714
227	0.3442412554
228	0.3441699762
229	0.3440613395
230	0.3439660795
231	0.3439045496
232	0.3438232859
233	0.3437781033
234	0.343734801
235	0.3436384017
236	0.3436000014
237	0.3434852528
238	0.3434342217
239	0.3433230582
240	0.3432179968
241	0.3431504011
242	0.3431150593
243	0.3430434781
244	0.3430122711
245	0.3429363238
246	0.3429074608
247	0.3427387336
248	0.342703354
249	0.3426465187
250	0.34259174
251	0.3425131487
252	0.3424035381
253	0.3423883075
254	0.342281063
255	0.3422425817
256	0.3421809372
257	0.3421053246
258	0.34202191
259	0.3419679566
260	0.3418876676
261	0.341760234
262	0.3416610294
263	0.341498854
264	0.3413861776
265	0.3412773824
266	0.3412249724
267	0.3411914772
268	0.3411003262
269	0.3410610829
270	0.3409661205
271	0.3409023304
272	0.3408475919
273	0.3407993245
274	0.3407603596
275	0.3406932518
276	0.3405793247
277	0.3405453625
278	0.3404443298
279	0.3403971597
280	0.3403664067
281	0.3403318231
282	0.340240886
283	0.3401775604
284	0.3401016364
285	0.340020777
286	0.3399200647
287	0.3398460558
288	0.3397517481
289	0.3396874095
290	0.3395959521
291	0.3395435427
292	0.3394820569
293	0.3393913385
294	0.3392958474
295	0.3392596176
296	0.3392011508
297	0.3391598975
298	0.339088709
299	0.3390310199
300	0.3389337588
301	0.3388381317
302	0.3387462686
303	0.3386438352
304	0.3385949891
305	0.3385351861
306	0.3384657288
307	0.3383975949
308	0.3383569677
309	0.3382697886
310	0.3381976949
311	0.3381753927
312	0.338068208
313	0.3380327663
314	0.3379320822
315	0.3378673139
316	0.3378132964
317	0.337724057
318	0.3376572286
319	0.3376136609
320	0.3375568323
321	0.3374634841
322	0.3374035017
323	0.3373445152
324	0.3372372192
325	0.3371721959
326	0.3370613299
327	0.3370306115
328	0.3369919396
329	0.3369345593
330	0.3368415264
331	0.3368138427
332	0.3367503725
333	0.3366991826
334	0.33660461
335	0.3365653683
336	0.3365023522
337	0.3364568335
338	0.3363624416
339	0.3362804446
340	0.3362475594
341	0.3361929305
342	0.3361506574
343	0.3361031737
344	0.3360114139
345	0.3359331646
346	0.3358791785
347	0.3358181183
348	0.3357385413
349	0.3356934692
350	0.335593881
351	0.3355458506
352	0.3354585636
353	0.3354354616
354	0.3354217558
355	0.3353561423
356	0.3352761972
357	0.3352479552
358	0.3352116829
359	0.3351799288
360	0.3351449346
361	0.3350638933
362	0.3349955316
363	0.3349469839
364	0.3348284262
365	0.3347670717
366	0.3346841041
367	0.3346187079
368	0.3345830132
369	0.3345133765
370	0.3343920599
371	0.3343518086
372	0.3342703787
373	0.3342056366
374	0.3341408387
375	0.3340476571
376	0.3339853163
377	0.3339136571
378	0.3338001016
379	0.3337298967
380	0.3336514882
381	0.3335441966
382	0.3334514585
383	0.3334125539
384	0.3333420602
385	0.3333041217
386	0.3332837311
387	0.3332203417
388	0.3331887245
389	0.333133683
390	0.3330707149
391	0.3330049357
392	0.3329790647
393	0.3329173107
394	0.3328545769
395	0.332778304
396	0.3327073077
397	0.3326864576
398	0.332617232
399	0.3325413228
400	0.3324395581
401	0.3323770549
402	0.3323031791
403	0.3322230742
404	0.3321856444
405	0.3321157809
406	0.3320707391
407	0.3320473587
408	0.3319902186
409	0.3319069239
410	0.3318230204
411	0.3317622087
412	0.331687601
413	0.3316199291
414	0.3315646734
415	0.3315312626
416	0.3314925651
417	0.3314470564
418	0.3313373877
419	0.331299902
420	0.3312692585
421	0.3312326669
422	0.3311895365
423	0.3311366225
424	0.3310662748
425	0.3310589333
426	0.3310139176
427	0.3309121446
428	0.3308530121
429	0.3307968497
430	0.3307157145
431	0.3306829662
432	0.3305893739
433	0.3305015255
434	0.3304461377
435	0.3303660683
436	0.3302930725
437	0.3302293821
438	0.3301669103
439	0.3301222868
440	0.3300728892
441	0.3299947372
442	0.3299652647
443	0.3299106544
444	0.3299016923
445	0.3298381017
446	0.3298222037
447	0.3298014213
448	0.329754987
449	0.3297003497
450	0.329665855
451	0.3296433244
452	0.3295836526
453	0.3295441118
454	0.3294739974
455	0.3294019494
456	0.3293345573
457	0.3293141701
458	0.3292785677
459	0.3292057642
460	0.329119991
461	0.329086726
462	0.3290552071
463	0.3289829117
464	0.3289059899
465	0.3288235109
466	0.3287336312
467	0.3287158268
468	0.3286424369
469	0.3286164608
470	0.3285252767
471	0.3284663574
472	0.3284480039
473	0.3284066327
474	0.3283330395
475	0.3282690937
476	0.3282350305
477	0.3282316239
478	0.3281388768
479	0.3280452622
480	0.3280015049
481	0.327931571
482	0.3278873042
483	0.3278772852
484	0.3277746131
485	0.3277259882
486	0.3277039887
487	0.3276505205
488	0.3275997376
489	0.3275455328
490	0.3275140049
491	0.3274792278
492	0.3274293385
